Time,Door,Car,Speed
23:45,0980,31.0,100.0
23:45,1292,31.0,104.0
23:45,1045,31.0,104.0
23:45,1389,31.0,108.0
23:45,1123,31.0,100.0
23:45,1465,31.0,104.0
23:45,1292,31.0,97.0
23:45,1572,31.0,104.0
23:45,1389,31.0,102.0
23:45,1621,31.0,108.0
23:45,1465,31.0,104.0
23:45,1664,31.0,108.0
23:45,1572,31.0,111.0
23:45,1699,31.0,0.0
23:45,1621,31.0,102.0
23:45,1774,31.0,0.0
23:45,1664,31.0,0.0
23:45,1802,31.0,108.0
23:45,1699,31.0,0.0
23:45,1839,31.0,108.0
23:45,1774,31.0,104.0
23:45,1906,31.0,104.0
23:45,1802,31.0,104.0
23:45,1960,31.0,111.0
23:45,1839,31.0,108.0
23:45,2011,31.0,111.0
23:45,1906,31.0,115.0
23:45,2089,31.0,111.0
23:45,1960,31.0,108.0
23:45,2156,31.0,115.0
23:45,2011,31.0,108.0
23:45,2249,31.0,111.0
23:45,2089,31.0,111.0
23:45,2322,31.0,108.0
23:45,2156,31.0,111.0
23:45,2394,31.0,111.0
23:45,2249,31.0,108.0
23:45,2425,31.0,111.0
23:45,2322,31.0,111.0
23:45,2472,31.0,111.0
23:45,2394,31.0,111.0
23:45,2514,31.0,111.0
23:45,2425,31.0,118.0
23:45,2603,31.0,108.0
23:45,2472,31.0,108.0
23:45,2674,31.0,108.0
23:45,2514,31.0,108.0
23:45,2714,31.0,108.0
23:45,2603,31.0,108.0
23:45,2827,31.0,111.0
23:45,2674,31.0,108.0
23:45,2866,31.0,108.0
23:45,2714,31.0,111.0
23:45,2930,31.0,108.0
23:45,2827,31.0,108.0
23:45,3019,31.0,111.0
23:45,2866,31.0,108.0
23:45,3083,31.0,108.0
23:45,2930,31.0,97.0
23:45,3126,31.0,108.0
23:45,3019,31.0,113.0
23:45,3185,31.0,104.0
23:45,3083,31.0,111.0
23:45,3227,31.0,108.0
23:45,3126,31.0,108.0
23:45,3252,31.0,106.0
23:45,3185,31.0,111.0
23:45,3286,31.0,108.0
23:45,3227,31.0,108.0
23:45,3366,31.0,108.0
23:45,3252,31.0,106.0
23:45,3398,31.0,115.0
23:45,3286,31.0,108.0
23:45,3460,31.0,111.0
23:45,3366,31.0,115.0
23:45,3535,31.0,104.0
23:45,3398,31.0,111.0
23:45,3559,31.0,104.0
23:45,3460,31.0,104.0
23:45,3590,31.0,97.0
23:45,3535,31.0,104.0
23:45,3640,31.0,100.0
23:45,3561,31.0,104.0
23:45,3676,31.0,82.0
23:45,3590,31.0,104.0
23:45,3696,31.0,97.0
23:45,3640,31.0,100.0
23:45,3676,31.0,97.0
23:45,3736,31.0,90.0
23:45,3686,31.0,86.0
23:45,0099,31.0,115.0
23:45,0200,31.0,100.0
23:45,0208,31.0,100.0
23:45,0163,31.0,102.0
23:45,0271,31.0,102.0
23:45,0340,31.0,104.0
23:45,0333,31.0,100.0
23:45,0206,31.0,100.0
23:45,0447,31.0,100.0
23:45,0305,31.0,104.0
23:45,0579,31.0,104.0
23:45,0339,31.0,97.0
23:45,0334,31.0,100.0
23:45,0633,31.0,97.0
23:45,0608,31.0,100.0
23:45,0447,31.0,97.0
23:45,0750,31.0,106.0
23:45,0578,31.0,93.0
23:45,0579,31.0,97.0
23:45,0099,31.0,0.0
23:45,0147,31.0,86.0
23:45,0174,31.0,104.0
23:45,0099,31.0,68.0
23:45,0147,31.0,91.0
23:45,0174,31.0,90.0
23:45,0511,31.0,57.0
23:45,0532,31.0,93.0
23:45,0511,31.0,95.0
23:45,0532,31.0,0.0
23:45,0980,31.0,68.0
23:45,1045,31.0,97.0
23:45,0980,31.0,82.0
23:45,1045,31.0,46.0
23:45,1621,31.0,0.0
23:45,1664,31.0,0.0
23:45,1621,31.0,90.0
23:45,1664,31.0,86.0
23:45,1906,31.0,81.0
23:45,1960,31.0,79.0
23:45,1906,31.0,90.0
23:45,1960,31.0,79.0
23:45,3126,31.0,0.0
23:45,3185,31.0,93.0
23:45,3126,31.0,90.0
23:45,3185,31.0,97.0
23:45,3590,31.0,0.0
23:45,3640,31.0,108.0
23:45,3590,31.0,0.0
23:45,3640,31.0,108.0
03:20,0029,31.0,95.0
03:20,0005,31.0,91.0
03:20,0061,31.0,93.0
03:20,0017,31.0,90.0
03:20,0099,31.0,100.0
03:20,0029,31.0,100.0
03:20,0147,31.0,100.0
03:20,0174,31.0,111.0
03:20,0061,31.0,93.0
03:20,0153,31.0,97.0
03:20,0099,31.0,86.0
03:20,0213,31.0,93.0
03:20,0147,31.0,97.0
03:20,0153,31.0,95.0
03:20,0233,31.0,97.0
03:20,0256,31.0,100.0
03:20,0182,31.0,97.0
03:20,0293,31.0,99.0
03:20,0248,31.0,104.0
03:20,0340,31.0,104.0
03:20,0264,31.0,104.0
03:20,0293,31.0,100.0
03:20,0305,31.0,97.0
03:20,0376,31.0,100.0
03:20,0447,31.0,100.0
03:20,0413,31.0,100.0
03:20,0339,31.0,100.0
03:20,0467,31.0,102.0
03:20,0376,31.0,97.0
03:20,0492,31.0,97.0
03:20,0413,31.0,100.0
03:20,0511,31.0,104.0
03:20,0467,31.0,100.0
03:20,0532,31.0,97.0
03:20,0492,31.0,100.0
03:20,0532,31.0,3.0
03:20,0557,31.0,104.0
03:20,0511,31.0,100.0
03:20,0584,31.0,104.0
03:20,0532,31.0,100.0
03:20,0557,31.0,1.0
03:20,0557,31.0,104.0
03:20,0633,31.0,104.0
03:20,0608,31.0,97.0
03:20,0664,31.0,100.0
03:20,0578,31.0,93.0
03:20,0579,31.0,97.0
03:20,0681,31.0,100.0
03:20,0633,31.0,97.0
03:20,0699,31.0,97.0
03:20,0664,31.0,100.0
03:20,0750,31.0,100.0
03:20,0681,31.0,93.0
03:20,0880,31.0,104.0
03:20,0699,31.0,104.0
03:20,0610,31.0,93.0
03:20,0928,31.0,104.0
03:20,0750,31.0,104.0
03:20,0956,31.0,108.0
03:20,0880,31.0,100.0
03:20,0928,31.0,100.0
03:20,0979,31.0,104.0
03:20,1045,31.0,100.0
03:20,0950,31.0,97.0
03:20,1123,31.0,104.0
03:20,0980,31.0,97.0
03:20,1292,31.0,104.0
03:20,1045,31.0,104.0
03:20,1389,31.0,104.0
03:20,1123,31.0,100.0
03:20,1465,31.0,109.0
03:20,1292,31.0,104.0
03:20,1572,31.0,104.0
03:20,1389,31.0,102.0
03:20,1621,31.0,109.0
03:20,1465,31.0,100.0
03:20,1664,31.0,109.0
03:20,1572,31.0,104.0
03:20,1699,31.0,108.0
03:20,1621,31.0,104.0
03:20,1774,31.0,108.0
03:20,1664,31.0,102.0
03:20,1802,31.0,115.0
03:20,1699,31.0,104.0
03:20,1839,31.0,108.0
03:20,1774,31.0,109.0
03:20,1906,31.0,100.0
03:20,1802,31.0,111.0
03:20,1960,31.0,111.0
03:20,1839,31.0,108.0
03:20,2011,31.0,115.0
03:20,1906,31.0,108.0
03:20,2089,31.0,115.0
03:20,1960,31.0,106.0
03:20,2156,31.0,109.0
03:20,2011,31.0,111.0
03:20,2249,31.0,111.0
03:20,2089,31.0,111.0
03:20,2322,31.0,104.0
03:20,2156,31.0,111.0
03:20,2394,31.0,111.0
03:20,2249,31.0,104.0
03:20,2425,31.0,111.0
03:20,2322,31.0,111.0
03:20,2472,31.0,111.0
03:20,2394,31.0,111.0
03:20,2514,31.0,111.0
03:20,2425,31.0,115.0
03:20,2603,31.0,111.0
03:20,2472,31.0,108.0
03:20,2674,31.0,106.0
03:20,2514,31.0,111.0
03:20,2714,31.0,113.0
03:20,2603,31.0,111.0
03:20,2827,31.0,108.0
03:20,2674,31.0,108.0
03:20,2866,31.0,111.0
03:20,2714,31.0,111.0
03:20,2930,31.0,138.0
03:20,2827,31.0,111.0
03:20,3019,31.0,113.0
03:20,2866,31.0,111.0
03:20,3083,31.0,115.0
03:20,2930,31.0,104.0
03:20,3126,31.0,108.0
03:20,3019,31.0,108.0
03:20,3185,31.0,108.0
03:20,3083,31.0,108.0
03:20,3227,31.0,108.0
03:20,3126,31.0,106.0
03:20,3252,31.0,104.0
03:20,3185,31.0,111.0
03:20,3286,31.0,100.0
03:20,3227,31.0,108.0
03:20,3366,31.0,108.0
03:20,3252,31.0,111.0
03:20,3398,31.0,115.0
03:20,3286,31.0,111.0
03:20,3460,31.0,115.0
03:20,3366,31.0,115.0
03:20,3535,31.0,111.0
03:20,3398,31.0,108.0
03:20,3559,31.0,104.0
03:20,3460,31.0,111.0
03:20,3590,31.0,104.0
03:20,3535,31.0,104.0
03:20,3640,31.0,97.0
03:20,3561,31.0,108.0
03:20,3676,31.0,102.0
03:20,3590,31.0,111.0
03:20,3696,31.0,99.0
03:20,3640,31.0,104.0
03:20,3676,31.0,97.0
03:20,3736,31.0,86.0
03:20,3686,31.0,82.0
03:20,0099,31.0,122.0
03:20,0200,31.0,99.0
03:20,0208,31.0,104.0
03:20,0163,31.0,104.0
03:20,0271,31.0,104.0
03:20,0340,31.0,100.0
03:20,0333,31.0,104.0
03:20,0206,31.0,100.0
03:20,0447,31.0,104.0
03:20,0305,31.0,100.0
03:20,0579,31.0,100.0
03:20,0339,31.0,104.0
03:20,0334,31.0,100.0
03:20,0633,31.0,104.0
03:20,0608,31.0,111.0
03:20,0447,31.0,102.0
03:20,0750,31.0,104.0
03:20,0578,31.0,118.0
03:20,0579,31.0,100.0
03:20,0099,31.0,0.0
03:20,0147,31.0,75.0
03:20,0174,31.0,82.0
03:20,0099,31.0,64.0
03:20,0147,31.0,90.0
03:20,0174,31.0,0.0
03:20,0511,31.0,90.0
03:20,0532,31.0,86.0
03:20,0511,31.0,90.0
03:20,0532,31.0,0.0
03:20,0980,31.0,93.0
03:20,1045,31.0,97.0
03:20,0980,31.0,90.0
03:20,1045,31.0,0.0
03:20,1621,31.0,0.0
03:20,1664,31.0,97.0
03:20,1621,31.0,25.0
03:20,1664,31.0,104.0
03:20,1906,31.0,75.0
03:20,1960,31.0,79.0
03:20,1906,31.0,0.0
03:20,1960,31.0,93.0
03:20,3126,31.0,0.0
03:20,3185,31.0,90.0
03:20,3126,31.0,72.0
03:20,3185,31.0,0.0
03:20,3590,31.0,0.0
03:20,3640,31.0,122.0
03:20,3590,31.0,0.0
03:20,3640,31.0,90.0
02:55,0029,31.0,90.0
02:55,0005,31.0,75.0
02:55,0061,31.0,93.0
02:55,0017,31.0,86.0
02:55,0099,31.0,100.0
02:55,0029,31.0,97.0
02:55,0147,31.0,97.0
02:55,0174,31.0,118.0
02:55,0061,31.0,104.0
02:55,0153,31.0,100.0
02:55,0099,31.0,93.0
02:55,0213,31.0,93.0
02:55,0147,31.0,100.0
02:55,0153,31.0,97.0
02:55,0233,31.0,104.0
02:55,0256,31.0,100.0
02:55,0182,31.0,97.0
02:55,0293,31.0,100.0
02:55,0248,31.0,97.0
02:55,0340,31.0,97.0
02:55,0264,31.0,97.0
02:55,0293,31.0,97.0
02:55,0305,31.0,102.0
02:55,0376,31.0,93.0
02:55,0447,31.0,100.0
02:55,0413,31.0,100.0
02:55,0339,31.0,97.0
02:55,0467,31.0,100.0
02:55,0376,31.0,93.0
02:55,0492,31.0,97.0
02:55,0413,31.0,104.0
02:55,0511,31.0,108.0
02:55,0467,31.0,100.0
02:55,0532,31.0,100.0
02:55,0492,31.0,104.0
02:55,0532,31.0,7.0
02:55,0557,31.0,104.0
02:55,0511,31.0,100.0
02:55,0584,31.0,100.0
02:55,0532,31.0,100.0
02:55,0557,31.0,0.0
02:55,0557,31.0,97.0
02:55,0633,31.0,104.0
02:55,0608,31.0,106.0
02:55,0664,31.0,100.0
02:55,0578,31.0,97.0
02:55,0579,31.0,111.0
02:55,0681,31.0,104.0
02:55,0633,31.0,93.0
02:55,0699,31.0,100.0
02:55,0664,31.0,104.0
02:55,0750,31.0,104.0
02:55,0681,31.0,93.0
02:55,0880,31.0,100.0
02:55,0699,31.0,108.0
02:55,0610,31.0,99.0
02:55,0928,31.0,108.0
02:55,0750,31.0,100.0
02:55,0956,31.0,102.0
02:55,0880,31.0,97.0
02:55,0928,31.0,100.0
02:55,0979,31.0,108.0
02:55,1045,31.0,104.0
02:55,0950,31.0,106.0
02:55,1123,31.0,104.0
02:55,0980,31.0,108.0
02:55,1292,31.0,104.0
02:55,1045,31.0,108.0
02:55,1389,31.0,106.0
02:55,1123,31.0,104.0
02:55,1465,31.0,104.0
02:55,1292,31.0,104.0
02:55,1572,31.0,100.0
02:55,1389,31.0,108.0
02:55,1621,31.0,104.0
02:55,1465,31.0,100.0
02:55,1664,31.0,104.0
02:55,1572,31.0,108.0
02:55,1699,31.0,108.0
02:55,1621,31.0,108.0
02:55,1774,31.0,104.0
02:55,1664,31.0,102.0
02:55,1802,31.0,108.0
02:55,1699,31.0,100.0
02:55,1839,31.0,118.0
02:55,1774,31.0,108.0
02:55,1906,31.0,118.0
02:55,1802,31.0,111.0
02:55,1960,31.0,111.0
02:55,1839,31.0,104.0
02:55,2011,31.0,115.0
02:55,1906,31.0,108.0
02:55,2089,31.0,111.0
02:55,1960,31.0,111.0
02:55,2156,31.0,122.0
02:55,2011,31.0,108.0
02:55,2249,31.0,118.0
02:55,2089,31.0,106.0
02:55,2322,31.0,113.0
02:55,2156,31.0,115.0
02:55,2394,31.0,111.0
02:55,2249,31.0,109.0
02:55,2425,31.0,111.0
02:55,2322,31.0,109.0
02:55,2472,31.0,111.0
02:55,2394,31.0,111.0
02:55,2514,31.0,109.0
02:55,2425,31.0,111.0
02:55,2603,31.0,113.0
02:55,2472,31.0,108.0
02:55,2674,31.0,115.0
02:55,2514,31.0,108.0
02:55,2714,31.0,108.0
02:55,2603,31.0,111.0
02:55,2827,31.0,113.0
02:55,2674,31.0,108.0
02:55,2866,31.0,111.0
02:55,2714,31.0,111.0
02:55,2930,31.0,111.0
02:55,2827,31.0,108.0
02:55,3019,31.0,108.0
02:55,2866,31.0,108.0
02:55,3083,31.0,108.0
02:55,2930,31.0,108.0
02:55,3126,31.0,108.0
02:55,3019,31.0,111.0
02:55,3185,31.0,111.0
02:55,3083,31.0,109.0
02:55,3227,31.0,108.0
02:55,3126,31.0,104.0
02:55,3252,31.0,108.0
02:55,3185,31.0,108.0
02:55,3286,31.0,106.0
02:55,3227,31.0,117.0
02:55,3366,31.0,93.0
02:55,3252,31.0,111.0
02:55,3398,31.0,108.0
02:55,3286,31.0,111.0
02:55,3460,31.0,111.0
02:55,3366,31.0,115.0
02:55,3535,31.0,108.0
02:55,3398,31.0,104.0
02:55,3559,31.0,108.0
02:55,3460,31.0,104.0
02:55,3590,31.0,104.0
02:55,3535,31.0,104.0
02:55,3640,31.0,108.0
02:55,3561,31.0,97.0
02:55,3676,31.0,104.0
02:55,3590,31.0,104.0
02:55,3696,31.0,97.0
02:55,3640,31.0,108.0
02:55,3676,31.0,104.0
02:55,3736,31.0,0.0
02:55,3686,31.0,0.0
02:55,0099,31.0,0.0
02:55,0200,31.0,100.0
02:55,0208,31.0,100.0
02:55,0163,31.0,97.0
02:55,0271,31.0,108.0
02:55,0340,31.0,100.0
02:55,0333,31.0,104.0
02:55,0206,31.0,97.0
02:55,0447,31.0,104.0
02:55,0305,31.0,100.0
02:55,0579,31.0,104.0
02:55,0339,31.0,100.0
02:55,0334,31.0,97.0
02:55,0633,31.0,100.0
02:55,0608,31.0,106.0
02:55,0447,31.0,97.0
02:55,0750,31.0,100.0
02:55,0578,31.0,0.0
02:55,0579,31.0,95.0
02:55,0099,31.0,0.0
02:55,0147,31.0,0.0
02:55,0174,31.0,0.0
02:55,0099,31.0,0.0
02:55,0147,31.0,82.0
02:55,0174,31.0,100.0
02:55,0511,31.0,100.0
02:55,0532,31.0,0.0
02:55,0511,31.0,0.0
02:55,0532,31.0,0.0
02:55,0980,31.0,0.0
02:55,1045,31.0,104.0
02:55,0980,31.0,86.0
02:55,1045,31.0,0.0
02:55,1621,31.0,0.0
02:55,1664,31.0,93.0
02:55,1621,31.0,0.0
02:55,1664,31.0,108.0
02:55,1906,31.0,0.0
02:55,1960,31.0,86.0
02:55,1906,31.0,0.0
02:55,1960,31.0,75.0
02:55,3126,31.0,0.0
02:55,3185,31.0,0.0
02:55,3126,31.0,82.0
02:55,3185,31.0,0.0
02:55,3590,31.0,0.0
02:55,3640,31.0,0.0
02:55,3590,31.0,0.0
02:55,3640,31.0,0.0
02:20,0029,31.0,90.0
02:20,0005,31.0,90.0
02:20,0061,31.0,93.0
02:20,0017,31.0,93.0
02:20,0099,31.0,97.0
02:20,0029,31.0,90.0
02:20,0147,31.0,102.0
02:20,0174,31.0,122.0
02:20,0061,31.0,97.0
02:20,0153,31.0,100.0
02:20,0099,31.0,86.0
02:20,0213,31.0,97.0
02:20,0147,31.0,97.0
02:20,0153,31.0,97.0
02:20,0233,31.0,97.0
02:20,0256,31.0,93.0
02:20,0182,31.0,100.0
02:20,0293,31.0,100.0
02:20,0248,31.0,104.0
02:20,0340,31.0,108.0
02:20,0264,31.0,102.0
02:20,0293,31.0,97.0
02:20,0305,31.0,106.0
02:20,0376,31.0,97.0
02:20,0447,31.0,104.0
02:20,0413,31.0,100.0
02:20,0339,31.0,100.0
02:20,0467,31.0,100.0
02:20,0376,31.0,93.0
02:20,0492,31.0,104.0
02:20,0413,31.0,97.0
02:20,0511,31.0,111.0
02:20,0467,31.0,99.0
02:20,0532,31.0,104.0
02:20,0492,31.0,100.0
02:20,0532,31.0,3.0
02:20,0557,31.0,100.0
02:20,0511,31.0,95.0
02:20,0584,31.0,104.0
02:20,0532,31.0,93.0
02:20,0557,31.0,0.0
02:20,0557,31.0,97.0
02:20,0633,31.0,108.0
02:20,0608,31.0,102.0
02:20,0664,31.0,104.0
02:20,0578,31.0,100.0
02:20,0579,31.0,90.0
02:20,0681,31.0,108.0
02:20,0633,31.0,100.0
02:20,0699,31.0,104.0
02:20,0664,31.0,106.0
02:20,0750,31.0,109.0
02:20,0681,31.0,93.0
02:20,0880,31.0,100.0
02:20,0699,31.0,108.0
02:20,0610,31.0,90.0
02:20,0928,31.0,100.0
02:20,0750,31.0,100.0
02:20,0956,31.0,106.0
02:20,0880,31.0,106.0
02:20,0928,31.0,100.0
02:20,0979,31.0,104.0
02:20,1045,31.0,104.0
02:20,0950,31.0,102.0
02:20,1123,31.0,108.0
02:20,0980,31.0,104.0
02:20,1292,31.0,104.0
02:20,1045,31.0,104.0
02:20,1389,31.0,104.0
02:20,1123,31.0,104.0
02:20,1465,31.0,104.0
02:20,1292,31.0,104.0
02:20,1572,31.0,104.0
02:20,1389,31.0,102.0
02:20,1621,31.0,102.0
02:20,1465,31.0,100.0
02:20,1664,31.0,108.0
02:20,1572,31.0,100.0
02:20,1699,31.0,108.0
02:20,1621,31.0,104.0
02:20,1774,31.0,104.0
02:20,1664,31.0,104.0
02:20,1802,31.0,104.0
02:20,1699,31.0,106.0
02:20,1839,31.0,111.0
02:20,1774,31.0,115.0
02:20,1906,31.0,111.0
02:20,1802,31.0,111.0
02:20,1960,31.0,111.0
02:20,1839,31.0,108.0
02:20,2011,31.0,108.0
02:20,1906,31.0,108.0
02:20,2089,31.0,108.0
02:20,1960,31.0,111.0
02:20,2156,31.0,111.0
02:20,2011,31.0,108.0
02:20,2249,31.0,111.0
02:20,2089,31.0,115.0
02:20,2322,31.0,108.0
02:20,2156,31.0,111.0
02:20,2394,31.0,111.0
02:20,2249,31.0,104.0
02:20,2425,31.0,111.0
02:20,2322,31.0,108.0
02:20,2472,31.0,111.0
02:20,2394,31.0,111.0
02:20,2514,31.0,109.0
02:20,2425,31.0,108.0
02:20,2603,31.0,111.0
02:20,2472,31.0,108.0
02:20,2674,31.0,113.0
02:20,2514,31.0,108.0
02:20,2714,31.0,111.0
02:20,2603,31.0,111.0
02:20,2827,31.0,111.0
02:20,2674,31.0,111.0
02:20,2866,31.0,100.0
02:20,2714,31.0,111.0
02:20,2930,31.0,115.0
02:20,2827,31.0,108.0
02:20,3019,31.0,108.0
02:20,2866,31.0,111.0
02:20,3083,31.0,109.0
02:20,2930,31.0,108.0
02:20,3126,31.0,108.0
02:20,3019,31.0,104.0
02:20,3185,31.0,108.0
02:20,3083,31.0,111.0
02:20,3227,31.0,108.0
02:20,3126,31.0,111.0
02:20,3252,31.0,109.0
02:20,3185,31.0,115.0
02:20,3286,31.0,111.0
02:20,3227,31.0,111.0
02:20,3366,31.0,109.0
02:20,3252,31.0,108.0
02:20,3398,31.0,115.0
02:20,3286,31.0,111.0
02:20,3460,31.0,113.0
02:20,3366,31.0,115.0
02:20,3535,31.0,109.0
02:20,3398,31.0,108.0
02:20,3559,31.0,106.0
02:20,3460,31.0,108.0
02:20,3590,31.0,106.0
02:20,3535,31.0,104.0
02:20,3640,31.0,108.0
02:20,3561,31.0,108.0
02:20,3676,31.0,108.0
02:20,3590,31.0,100.0
02:20,3696,31.0,99.0
02:20,3640,31.0,100.0
02:20,3676,31.0,100.0
02:20,3736,31.0,14.0
02:20,3686,31.0,0.0
02:20,0099,31.0,118.0
02:20,0200,31.0,97.0
02:20,0208,31.0,100.0
02:20,0163,31.0,91.0
02:20,0271,31.0,93.0
02:20,0340,31.0,104.0
02:20,0333,31.0,102.0
02:20,0206,31.0,100.0
02:20,0447,31.0,93.0
02:20,0305,31.0,104.0
02:20,0579,31.0,108.0
02:20,0339,31.0,104.0
02:20,0334,31.0,97.0
02:20,0633,31.0,93.0
02:20,0608,31.0,102.0
02:20,0447,31.0,100.0
02:20,0750,31.0,104.0
02:20,0578,31.0,104.0
02:20,0579,31.0,100.0
02:20,0099,31.0,0.0
02:20,0147,31.0,95.0
02:20,0174,31.0,93.0
02:20,0099,31.0,68.0
02:20,0147,31.0,0.0
02:20,0174,31.0,115.0
02:20,0511,31.0,90.0
02:20,0532,31.0,111.0
02:20,0511,31.0,0.0
02:20,0532,31.0,0.0
02:20,0980,31.0,64.0
02:20,1045,31.0,97.0
02:20,0980,31.0,82.0
02:20,1045,31.0,72.0
02:20,1621,31.0,0.0
02:20,1664,31.0,100.0
02:20,1621,31.0,0.0
02:20,1664,31.0,0.0
02:20,1906,31.0,97.0
02:20,1960,31.0,82.0
02:20,1906,31.0,0.0
02:20,1960,31.0,86.0
02:20,3126,31.0,0.0
02:20,3185,31.0,0.0
02:20,3126,31.0,90.0
02:20,3185,31.0,28.0
02:20,3590,31.0,0.0
02:20,3640,31.0,122.0
02:20,3590,31.0,28.0
02:20,3640,31.0,108.0
07:35,0029,31.0,93.0
07:35,0005,31.0,88.0
07:35,0061,31.0,93.0
07:35,0017,31.0,86.0
07:35,0099,31.0,86.0
07:35,0029,31.0,32.0
07:35,0147,31.0,93.0
07:35,0174,31.0,108.0
07:35,0061,31.0,21.0
07:35,0153,31.0,93.0
07:35,0099,31.0,32.0
07:35,0213,31.0,82.0
07:35,0147,31.0,28.0
07:35,0153,31.0,61.0
07:35,0233,31.0,57.0
07:35,0256,31.0,39.0
07:35,0182,31.0,82.0
07:35,0293,31.0,21.0
07:35,0248,31.0,90.0
07:35,0340,31.0,90.0
07:35,0264,31.0,97.0
07:35,0293,31.0,68.0
07:35,0305,31.0,68.0
07:35,0376,31.0,68.0
07:35,0447,31.0,82.0
07:35,0413,31.0,36.0
07:35,0339,31.0,72.0
07:35,0467,31.0,28.0
07:35,0376,31.0,36.0
07:35,0492,31.0,18.0
07:35,0413,31.0,93.0
07:35,0511,31.0,97.0
07:35,0467,31.0,100.0
07:35,0532,31.0,86.0
07:35,0492,31.0,97.0
07:35,0532,31.0,3.0
07:35,0557,31.0,86.0
07:35,0511,31.0,46.0
07:35,0584,31.0,90.0
07:35,0532,31.0,39.0
07:35,0557,31.0,0.0
07:35,0557,31.0,28.0
07:35,0633,31.0,64.0
07:35,0608,31.0,82.0
07:35,0664,31.0,93.0
07:35,0578,31.0,66.0
07:35,0579,31.0,75.0
07:35,0681,31.0,97.0
07:35,0633,31.0,79.0
07:35,0699,31.0,97.0
07:35,0664,31.0,93.0
07:35,0750,31.0,108.0
07:35,0681,31.0,36.0
07:35,0880,31.0,97.0
07:35,0699,31.0,50.0
07:35,0610,31.0,61.0
07:35,0928,31.0,90.0
07:35,0750,31.0,86.0
07:35,0956,31.0,93.0
07:35,0880,31.0,75.0
07:35,0928,31.0,79.0
07:35,0979,31.0,93.0
07:35,1045,31.0,68.0
07:35,0950,31.0,90.0
07:35,1123,31.0,82.0
07:35,0980,31.0,100.0
07:35,1292,31.0,100.0
07:35,1045,31.0,100.0
07:35,1389,31.0,104.0
07:35,1123,31.0,100.0
07:35,1465,31.0,104.0
07:35,1292,31.0,104.0
07:35,1572,31.0,104.0
07:35,1389,31.0,104.0
07:35,1621,31.0,97.0
07:35,1465,31.0,104.0
07:35,1664,31.0,64.0
07:35,1572,31.0,104.0
07:35,1699,31.0,90.0
07:35,1621,31.0,104.0
07:35,1774,31.0,93.0
07:35,1664,31.0,90.0
07:35,1802,31.0,104.0
07:35,1699,31.0,93.0
07:35,1839,31.0,104.0
07:35,1774,31.0,108.0
07:35,1906,31.0,100.0
07:35,1802,31.0,108.0
07:35,1960,31.0,100.0
07:35,1839,31.0,104.0
07:35,2011,31.0,100.0
07:35,1906,31.0,108.0
07:35,2089,31.0,97.0
07:35,1960,31.0,100.0
07:35,2156,31.0,104.0
07:35,2011,31.0,100.0
07:35,2249,31.0,108.0
07:35,2089,31.0,104.0
07:35,2322,31.0,104.0
07:35,2156,31.0,108.0
07:35,2394,31.0,108.0
07:35,2249,31.0,104.0
07:35,2425,31.0,111.0
07:35,2322,31.0,104.0
07:35,2472,31.0,108.0
07:35,2394,31.0,111.0
07:35,2514,31.0,108.0
07:35,2425,31.0,111.0
07:35,2603,31.0,108.0
07:35,2472,31.0,108.0
07:35,2674,31.0,108.0
07:35,2514,31.0,108.0
07:35,2714,31.0,108.0
07:35,2603,31.0,111.0
07:35,2827,31.0,108.0
07:35,2674,31.0,108.0
07:35,2866,31.0,108.0
07:35,2714,31.0,108.0
07:35,2930,31.0,111.0
07:35,2827,31.0,108.0
07:35,3019,31.0,104.0
07:35,2866,31.0,111.0
07:35,3083,31.0,108.0
07:35,2930,31.0,104.0
07:35,3126,31.0,104.0
07:35,3019,31.0,100.0
07:35,3185,31.0,90.0
07:35,3083,31.0,104.0
07:35,3227,31.0,57.0
07:35,3126,31.0,100.0
07:35,3252,31.0,36.0
07:35,3185,31.0,93.0
07:35,3286,31.0,50.0
07:35,3227,31.0,97.0
07:35,3366,31.0,100.0
07:35,3252,31.0,100.0
07:35,3398,31.0,100.0
07:35,3286,31.0,75.0
07:35,3460,31.0,82.0
07:35,3366,31.0,93.0
07:35,3535,31.0,64.0
07:35,3398,31.0,93.0
07:35,3559,31.0,86.0
07:35,3460,31.0,93.0
07:35,3590,31.0,79.0
07:35,3535,31.0,97.0
07:35,3640,31.0,46.0
07:35,3561,31.0,95.0
07:35,3676,31.0,57.0
07:35,3590,31.0,93.0
07:35,3696,31.0,79.0
07:35,3640,31.0,93.0
07:35,3676,31.0,90.0
07:35,3736,31.0,90.0
07:35,3686,31.0,82.0
07:35,0099,31.0,54.0
07:35,0200,31.0,90.0
07:35,0208,31.0,50.0
07:35,0163,31.0,93.0
07:35,0271,31.0,54.0
07:35,0340,31.0,46.0
07:35,0333,31.0,28.0
07:35,0206,31.0,93.0
07:35,0447,31.0,93.0
07:35,0305,31.0,93.0
07:35,0579,31.0,100.0
07:35,0339,31.0,75.0
07:35,0334,31.0,90.0
07:35,0633,31.0,61.0
07:35,0608,31.0,86.0
07:35,0447,31.0,79.0
07:35,0750,31.0,95.0
07:35,0578,31.0,57.0
07:35,0579,31.0,79.0
07:35,0099,31.0,14.0
07:35,0147,31.0,90.0
07:35,0174,31.0,104.0
07:35,0099,31.0,43.0
07:35,0147,31.0,82.0
07:35,0174,31.0,100.0
07:35,0511,31.0,57.0
